	EF1	EF2	EH1	EH2
Cluster-0.0	0	0	0	21
Cluster-1.0	0	0	0	40
Cluster-2.0	0	0	6	11
Cluster-2.1	0	0	1	8
Cluster-3.0	0	0	1	11
Cluster-4.0	0	0	2	10
Cluster-5.0	0	0	7	7
Cluster-6.0	0	0	2	12
Cluster-7.0	0	0	5	6
Cluster-8.0	0	0	3	9
Cluster-9.0	0	0	9	3
Cluster-10.0	0	0	7	9
Cluster-11.0	0	0	4	11
Cluster-12.0	0	0	7	5
Cluster-13.0	0	0	11	7
Cluster-14.0	0	0	9	4
Cluster-15.0	0	0	4	8
Cluster-15.1	1	3	3	6
Cluster-16.0	0	0	5	6
Cluster-17.0	0	0	12	3
Cluster-18.0	0	0	6	11
Cluster-19.0	0	0	6	6
Cluster-20.0	0	0	4	7
Cluster-21.0	0	0	5	6
Cluster-22.0	0	0	6	6
Cluster-23.0	0	0	7	4
Cluster-24.0	0	0	7	5
Cluster-25.0	1	0	7	5
Cluster-26.0	0	0	9	2
Cluster-27.0	0	0	7	10
Cluster-28.0	0	0	7	6
Cluster-29.0	0	0	6	7
Cluster-30.0	0	0	9	3
Cluster-31.0	0	0	8	4
Cluster-32.0	0	0	4	7
Cluster-33.0	0	0	2	26
Cluster-34.0	0	0	7	6
Cluster-35.0	0	0	6	5
Cluster-36.0	0	0	14	7
Cluster-37.0	0	0	7	8
Cluster-38.0	0	0	7	4
Cluster-39.0	0	0	5	7
Cluster-40.0	0	0	6	7
Cluster-41.0	0	0	6	5
Cluster-42.0	0	0	4	7
Cluster-43.0	0	0	5	10
Cluster-44.0	0	0	6	8
Cluster-45.0	0	0	7	5
Cluster-46.0	0	0	7	7
Cluster-47.0	0	0	10	2
Cluster-48.0	0	0	11	7
Cluster-49.0	0	0	8	7
Cluster-50.0	0	0	7	3
Cluster-50.1	0	0	5	4
Cluster-50.2	1	4	9	9
Cluster-51.0	0	0	9	9
Cluster-52.0	0	0	8	3
Cluster-53.0	0	0	9	6
Cluster-54.0	0	0	11	4
Cluster-55.0	0	0	7	6
Cluster-56.0	0	0	8	3
Cluster-57.0	0	0	10	2
Cluster-58.0	0	0	7	7
Cluster-59.0	0	0	9	5
Cluster-60.0	0	0	8	4
Cluster-61.0	0	0	3	8
Cluster-62.0	0	0	10	4
Cluster-63.0	0	0	7	4
Cluster-64.0	0	0	5	6
Cluster-65.0	0	0	9	6
Cluster-66.0	0	0	16	6
Cluster-67.0	0	0	3	9
Cluster-68.0	0	0	11	4
Cluster-69.0	0	0	6	6
Cluster-70.0	0	0	8	6
Cluster-71.0	0	0	9	2
Cluster-72.0	0	0	6	10
Cluster-73.0	0	0	8	6
Cluster-74.0	0	0	6	6
Cluster-75.0	0	0	8	7
Cluster-76.0	0	0	8	4
Cluster-77.0	0	0	7	5
Cluster-78.0	0	0	7	10
Cluster-79.0	0	0	8	3
Cluster-80.0	0	0	5	6
Cluster-81.0	0	0	13	6
Cluster-82.0	0	0	18	21
Cluster-83.0	0	0	12	7
Cluster-84.0	0	0	9	5
Cluster-85.0	0	0	8	4
Cluster-86.0	0	0	10	6
Cluster-87.0	0	0	7	4
Cluster-88.0	0	0	7	10
Cluster-89.0	0	0	9	6
Cluster-90.0	0	0	7	7
Cluster-91.0	0	0	6	6
Cluster-92.0	0	0	7	5
Cluster-93.0	0	0	8	3
Cluster-94.0	0	0	9	7
Cluster-95.0	0	0	7	5
Cluster-96.0	0	0	7	11
Cluster-97.0	0	0	11	11
Cluster-98.0	0	0	6	6
Cluster-99.0	0	0	41	32
Cluster-100.0	0	0	7	4
Cluster-101.0	0	0	10	6
Cluster-102.0	0	0	14	2
Cluster-103.0	0	0	6	5
Cluster-104.0	0	0	7	4
Cluster-105.0	0	0	7	6
Cluster-106.0	0	0	10	4
Cluster-107.0	0	0	5	8
Cluster-108.0	0	0	6	5
Cluster-109.0	0	0	6	7
Cluster-110.0	0	0	7	4
Cluster-111.0	0	0	12	7
Cluster-112.0	0	0	9	7
Cluster-113.0	0	0	8	7
Cluster-114.0	0	0	7	7
Cluster-115.0	0	0	7	6
Cluster-116.0	0	0	5	7
Cluster-117.0	0	0	6	6
Cluster-118.0	0	0	5	6
Cluster-119.0	0	0	8	6
Cluster-120.0	0	0	34	27
Cluster-121.0	0	0	11	7
Cluster-122.0	1	1	83	66
Cluster-122.1	0	0	55	52
Cluster-123.0	0	0	9	2
Cluster-124.0	0	0	7	8
Cluster-125.0	0	0	10	7
Cluster-126.0	0	0	7	5
Cluster-127.0	0	0	8	7
Cluster-128.0	1	0	5	6
Cluster-129.0	0	0	10	6
Cluster-130.0	0	0	11	6
Cluster-131.0	0	0	8	9
Cluster-132.0	0	0	30	24
Cluster-133.0	0	0	5	7
Cluster-134.0	0	0	12	10
Cluster-135.0	0	0	6	5
Cluster-136.0	0	0	4	7
Cluster-137.0	0	0	8	5
Cluster-138.0	0	0	6	6
Cluster-139.0	0	0	8	11
Cluster-140.0	0	0	7	6
Cluster-141.0	0	0	5	6
Cluster-142.0	0	0	11	5
Cluster-143.0	0	0	7	5
Cluster-144.0	0	0	7	6
Cluster-145.0	0	0	17	10
Cluster-146.0	0	0	7	8
Cluster-147.0	0	0	6	5
Cluster-148.0	0	3	13	7
Cluster-149.0	0	0	8	3
Cluster-150.0	0	0	9	5
Cluster-151.0	0	0	24	35
Cluster-151.1	0	0	27	26
Cluster-152.0	0	0	11	14
Cluster-153.0	0	0	5	6
Cluster-154.0	0	0	7	11
Cluster-155.0	0	0	3	9
Cluster-156.0	0	0	13	0
Cluster-157.0	0	0	9	6
Cluster-158.0	0	0	14	9
Cluster-159.0	0	0	10	7
Cluster-160.0	0	0	16	10
Cluster-161.0	0	0	6	5
Cluster-162.0	0	0	8	11
Cluster-163.0	0	0	6	5
Cluster-164.0	0	0	10	3
Cluster-165.0	0	0	6	6
Cluster-166.0	0	0	11	1
Cluster-167.0	0	0	24	36
Cluster-168.0	0	0	11	16
Cluster-169.0	0	0	6	6
Cluster-170.0	0	0	10	8
Cluster-171.0	0	0	22	13
Cluster-172.0	0	0	8	4
Cluster-173.0	0	0	4	8
Cluster-174.0	0	0	5	6
Cluster-175.0	0	0	5	6
Cluster-176.0	0	0	9	7
