gene	length	CF1	CF2	CH1	CH2
ENSGALG00000026373	4934	116	151	183	181
ENSGALG00000027682	4155	519	537	486	472
ENSGALG00000012122	10964	5	3	2	3
ENSGALG00000016196	1854	1360	1457	1257	1219
ENSGALG00000016312	5653	4281	4248	4166	4066
ENSGALG00000016622	2347	90	89	79	73
ENSGALG00000016866	789	7	13	6	5
ENSGALG00000017106	3607	22	22	14	17
ENSGALG00000000838	2688	753	751	742	705
ENSGALG00000008171	8160	877	994	951	901
ENSGALG00000006731	5121	1979	2123	1896	1797
ENSGALG00000009866	4611	261	224	284	225
ENSGALG00000000451	918	4	4	2	4
ENSGALG00000008509	5658	53	59	90	94
ENSGALG00000008461	6505	2300	2605	1359	1553
ENSGALG00000008309	2523	3	5	1	1
ENSGALG00000008154	6613	1491	1466	1491	1337
ENSGALG00000008570	3592	10	11	3	3
ENSGALG00000019382	5037	2	0	0	0
ENSGALG00000008797	4820	1734	1625	1718	1600
ENSGALG00000008975	2824	607	653	621	577
ENSGALG00000009002	4619	1083	1037	991	825
ENSGALG00000009485	1156	16	19	20	19
ENSGALG00000010200	2524	28	37	21	25
ENSGALG00000010311	7865	50	57	32	43
ENSGALG00000010935	10671	2	2	3	0
ENSGALG00000010975	6204	726	765	653	674
ENSGALG00000011594	2240	0	1	0	0
ENSGALG00000011898	1294	505	542	440	493
ENSGALG00000029019	8141	231	224	290	208
ENSGALG00000012759	1367	2446	2607	2305	2484
ENSGALG00000012890	5372	15	16	26	19
ENSGALG00000012953	2992	1525	1479	1440	1419
ENSGALG00000012994	3537	393	424	436	367
ENSGALG00000014085	2514	195	222	158	197
ENSGALG00000014190	3207	930	1001	1309	1274
ENSGALG00000017272	17412	285	292	270	229
ENSGALG00000022907	403	0	0	0	0
ENSGALG00000015003	3345	5944	6830	6111	6365
ENSGALG00000015348	4896	961	1135	799	968
ENSGALG00000015458	1936	455	564	431	466
ENSGALG00000015842	5528	2068	2151	2083	1876
ENSGALG00000016006	5864	2605	2529	2433	2307
ENSGALG00000016058	2956	461	412	544	492
ENSGALG00000016281	11820	558	500	648	683
ENSGALG00000016420	2997	1885	1922	1894	1743
ENSGALG00000016602	4805	50	53	66	44
ENSGALG00000024488	2313	992	1050	1020	1102
ENSGALG00000016740	3231	4	3	0	1
ENSGALG00000016746	6010	200	188	192	187
ENSGALG00000016767	4198	133	147	193	165
ENSGALG00000016783	5733	94	78	80	74
ENSGALG00000016844	1403	209	224	219	236
ENSGALG00000016920	5840	969	995	713	615
ENSGALG00000016971	9240	2190	2227	2059	2063
ENSGALG00000017091	4302	278	211	214	217
ENSGALG00000017156	3480	1417	1425	1428	1391
ENSGALG00000017195	1421	24	29	12	10
ENSGALG00000017254	14159	13	18	12	10
ENSGALG00000017262	2127	418	410	353	405
ENSGALG00000014170	3033	3	0	4	7
ENSGALG00000017307	1450	1344	1418	1266	1238
ENSGALG00000026110	5249	232	257	191	197
ENSGALG00000013499	3987	622	658	693	653
ENSGALG00000007973	5676	601	674	616	636
ENSGALG00000008087	1350	0	0	0	0
ENSGALG00000008449	7416	262	322	292	241
ENSGALG00000008477	8133	1565	1635	1571	1572
ENSGALG00000006473	5791	239	273	249	282
ENSGALG00000006409	5058	1641	1730	1618	1604
ENSGALG00000006891	3454	0	2	7	4
