cluster	chicken_gene
Cluster-10.0	ENSGALG00000015924
Cluster-10006.0	ENSGALG00000006795
Cluster-10041.0	ENSGALG00000000974
Cluster-10048.0	ENSGALG00000008940
Cluster-10081.0	ENSGALG00000015367
Cluster-10085.0	ENSGALG00000028130
Cluster-1010.0	ENSGALG00000009249
Cluster-1011.0	ENSGALG00000024103
Cluster-10142.0	ENSGALG00000007116
Cluster-10205.0	ENSGALG00000006838
Cluster-10209.0	ENSGALG00000004103
Cluster-10243.0	ENSGALG00000000225
Cluster-10263.0	ENSGALG00000009032
Cluster-10269.0	ENSGALG00000005351
Cluster-10273.0	ENSGALG00000009414
Cluster-10330.0	ENSGALG00000005114
Cluster-10334.0	ENSGALG00000011148
Cluster-10343.0	ENSGALG00000004466
Cluster-1035.0	ENSGALG00000007976
Cluster-10356.0	ENSGALG00000008753
Cluster-10391.0	ENSGALG00000029022
Cluster-10400.0	ENSGALG00000010338
Cluster-10423.0	ENSGALG00000000852
Cluster-10425.0	ENSGALG00000024033
Cluster-10426.1	ENSGALG00000011025
Cluster-10436.0	ENSGALG00000005103
Cluster-10449.0	ENSGALG00000006508
Cluster-10454.0	ENSGALG00000026155
Cluster-10465.0	ENSGALG00000011369
Cluster-10475.1	ENSGALG00000027331
Cluster-10475.2	ENSGALG00000027331
Cluster-10475.4	ENSGALG00000027331
Cluster-10479.0	ENSGALG00000015689
Cluster-1049.0	ENSGALG00000026498
Cluster-10517.0	ENSGALG00000002186
Cluster-10535.0	ENSGALG00000026498
Cluster-1054.0	ENSGALG00000005492
Cluster-10542.0	ENSGALG00000014244
Cluster-10542.1	ENSGALG00000014244
Cluster-10542.2	ENSGALG00000014244
Cluster-10542.3	ENSGALG00000014244
Cluster-10557.0	ENSGALG00000001849
Cluster-10580.0	ENSGALG00000026747
Cluster-10580.1	ENSGALG00000026747
Cluster-10582.0	ENSGALG00000016078
Cluster-10596.0	ENSGALG00000006091
Cluster-10597.0	ENSGALG00000012748
Cluster-10608.1	ENSGALG00000011379
Cluster-10612.0	ENSGALG00000015795
Cluster-10618.0	ENSGALG00000001854
Cluster-10634.0	ENSGALG00000026271
Cluster-10640.0	ENSGALG00000026498
Cluster-10671.0	ENSGALG00000022896
Cluster-10681.0	ENSGALG00000013362
Cluster-10686.0	ENSGALG00000012668
Cluster-10690.0	ENSGALG00000009107
Cluster-10700.0	ENSGALG00000014505
Cluster-10707.0	ENSGALG00000028018
Cluster-10711.0	ENSGALG00000012075
Cluster-10711.1	ENSGALG00000012075
Cluster-10735.0	ENSGALG00000002113
Cluster-10765.0	ENSGALG00000026419
Cluster-10767.0	ENSGALG00000005043
Cluster-10771.0	ENSGALG00000013661
Cluster-10771.1	ENSGALG00000013661
Cluster-1083.0	ENSGALG00000012177
Cluster-10833.0	ENSGALG00000005797
Cluster-10836.0	ENSGALG00000012984
Cluster-10865.0	ENSGALG00000011009
Cluster-10897.0	ENSGALG00000006192
Cluster-1093.0	ENSGALG00000007257
Cluster-10942.0	ENSGALG00000011899
Cluster-10951.0	ENSGALG00000028424
Cluster-10962.0	ENSGALG00000026498
Cluster-10963.0	ENSGALG00000006165
Cluster-10973.0	ENSGALG00000010156
Cluster-10974.0	ENSGALG00000008028
Cluster-11006.0	ENSGALG00000010604
Cluster-11013.0	ENSGALG00000010179
Cluster-11045.0	ENSGALG00000027954
Cluster-11046.1	ENSGALG00000009424
Cluster-11046.2	ENSGALG00000009424
Cluster-11103.0	ENSGALG00000005359
Cluster-11106.0	ENSGALG00000015050
Cluster-11120.0	ENSGALG00000001246
Cluster-11126.0	ENSGALG00000011041
Cluster-11130.0	ENSGALG00000002369
Cluster-11139.0	ENSGALG00000003440
Cluster-11150.0	ENSGALG00000004972
Cluster-11153.0	ENSGALG00000007289
Cluster-11158.0	ENSGALG00000027089
Cluster-11158.1	ENSGALG00000027089
Cluster-11176.1	ENSGALG00000013987
Cluster-11181.0	ENSGALG00000024272
Cluster-11191.0	ENSGALG00000007104
Cluster-11199.0	ENSGALG00000022955
Cluster-11211.0	ENSGALG00000008871
Cluster-11223.0	ENSGALG00000000242
Cluster-11223.3	ENSGALG00000000242
Cluster-11239.0	ENSGALG00000017077
Cluster-11253.0	ENSGALG00000003537
Cluster-11267.0	ENSGALG00000029178
Cluster-11285.0	ENSGALG00000015754
Cluster-11287.0	ENSGALG00000005842
Cluster-11364.0	ENSGALG00000013587
Cluster-11369.0	ENSGALG00000007070
Cluster-11369.1	ENSGALG00000007070
Cluster-11401.0	ENSGALG00000023164
Cluster-11402.0	ENSGALG00000010554
Cluster-11415.0	ENSGALG00000000449
Cluster-11419.0	ENSGALG00000006099
Cluster-11426.0	ENSGALG00000008557
Cluster-11426.1	ENSGALG00000008557
Cluster-11446.0	ENSGALG00000015373
Cluster-11456.0	ENSGALG00000003115
Cluster-11465.0	ENSGALG00000020459
Cluster-11472.0	ENSGALG00000028452
Cluster-11475.0	ENSGALG00000009107
Cluster-11475.1	ENSGALG00000009107
Cluster-11492.0	ENSGALG00000008747
Cluster-11499.0	ENSGALG00000006413
Cluster-11512.0	ENSGALG00000007113
Cluster-11512.1	ENSGALG00000007113
Cluster-1153.0	ENSGALG00000015126
Cluster-11532.0	ENSGALG00000004751
Cluster-11557.0	ENSGALG00000001912
Cluster-1158.0	ENSGALG00000019716
Cluster-1159.0	ENSGALG00000022940
Cluster-11598.0	ENSGALG00000010770
Cluster-11624.0	ENSGALG00000026845
